customer_id,email,first_name,last_name,phone,country,city,address,created_at,updated_at
CUST-9BC7DCB0,coxduncan@example.org,Jennifer,Davies,+4420 74960600,ES,East Leanne,863 Lawrence Valleys,2023-01-26T00:00:00,
CUST-D0530A7B,helenpeterson@example.org,Paulette,Camicione,0141 4960155,DE,Toledo,aleja Boczna 49/59,2023-04-15T00:00:00,
CUST-34F95130,lambertmargaud@example.org,Cebrián,Roussel,,DE,Leiderdorp,,2024-03-08T00:00:00,
CUST-426466E2,milosz55@example.org,Judith,John,,DE,Eberswalde,,2024-09-08T00:00:00,
CUST-72BF3874,okalisiak@example.net,Marianne,Bertolucci,+33 (0)4 70 64 13 95,ES,Delaunaydan,Istvan-Weinhage-Weg 7/7,2024-07-12T00:00:00,
CUST-F6EF7E94,edoardotommaseo@example.com,Anthony,Gould,(06916) 69784,FR,Lake Nicoleview,,2023-01-07T00:00:00,
CUST-6EE992F2,magrassiraffaellino@example.org,Jakub,Valle,,FR,Schwäbisch Hall,Acceso María Belén Cuéllar 680,2023-10-12T00:00:00,
CUST-98ACDDEA,pietraszolgierd@example.com,Bertrand,Duhamel,+44(0)114 496 0718,FR,Steinfurt,aleja Chełmońskiego 63/83,2023-04-05T00:00:00,
CUST-5F4B0AB4,cperea@example.net,Ignacy,Jean,01314960098,FR,Vasseur-sur-Robert,1 Mohamed cliffs,2023-09-28T00:00:00,
CUST-DA49B00B,marguerite73@example.net,Isabel,Macias,,GB,Sieradz,avenue Monnier,2024-01-23T00:00:00,
CUST-96EE0147,uvan-maaren@example.org,Benjamin,Visser,(0118) 496 0338,ES,Chorzów,Valentijnhof 7,2024-01-06T00:00:00,
CUST-51609BB9,rileysheila@example.org,Frank,Ladeck,+48 573 602 606,DE,Girona,Jonathanlaan 09,2023-08-22T00:00:00,
CUST-7AFC6B9D,brian97@example.net,Björn,Barton,+442074960136,NL,New Marilyn,9985 Harris Stravenue,2023-04-14T00:00:00,
CUST-ED7CFAB0,giustinopetrassi@example.org,Zacarías,Bonolis,599.711.8384x251,NL,León,Via de Selena Cañizares 21,2023-06-16T00:00:00,
CUST-4CF62293,karl-peter93@example.net,Gastone,Vega,730 164 005,FR,Ebersberg,pl. Szkolna 12,2024-11-30T00:00:00,
CUST-779D6204,brandi26@example.org,Kyle,Nolan,,DE,Martineau,"Studio 69
Frank way",2023-09-08T00:00:00,
CUST-678C69EF,ramonalehmann@example.org,Jennifer,Polizzi,0298160733,AT,Starogard Gdański,Plaza Georgina Ferrando 55,2024-10-17T00:00:00,
CUST-1223A437,bruce86@example.net,Alphons,Shaw,,FR,Palencia,,2023-02-27T00:00:00,
CUST-7F4ADA4F,campsdebora@example.com,Lina,Roero,,FR,Suttonborough,Plaza de Aurora Figueras 26,2023-10-02T00:00:00,
CUST-D565CE8E,francesca14@example.net,Griselda,Verbeek,,GB,Loënga,Stadelmannstraße 599,2023-11-19T00:00:00,
CUST-D4EB2B12,stoffelszmaurits@example.org,Lois,Scarpetta,+48 533 872 148,NL,Ostigliano,"43, rue Lambert",2024-10-20T00:00:00,
CUST-61AF4974,xbourdon@example.org,Urszula,Wagner,(063)-2016328,DE,Częstochowa,rue Suzanne Barthelemy,2024-07-28T00:00:00,
CUST-4856ACE6,btiepolo@example.net,Damian,Chyb,+34 881487347,FR,Damianview,"Via Enzo, 6 Appartamento 66",2024-08-20T00:00:00,
CUST-5D730253,nwitos@example.com,Rosa,Gates,(005)-4668893,PT,Siemianowice Śląskie,Plaza de Roque Navarrete 82 Apt. 98 ,2024-06-05T00:00:00,
CUST-2C5C6332,qvargas@example.org,Carly,Huurdeman,660 465 375,NL,Treschietto,Avenida de Adoración Aliaga 405 Puerta 1 ,2023-06-06T00:00:00,
CUST-095757A7,herringjames@example.org,Ignatz,Mühle,020 7946 0374,FR,Loceri,19 Graeme ports,2023-03-07T00:00:00,
CUST-52425C1A,emangel@example.net,François,Carrillo,(786)951-8506x716,GB,Eisenberg,Ronda de Paola Ledesma 23 Piso 7 ,2023-09-15T00:00:00,
CUST-60396C41,ncolas@example.net,Nout,Snyder,+39 0825354548,DE,Saint Michellenec,plac Krańcowa 77/01,2023-04-28T00:00:00,
CUST-61D8EBFA,sandaliohervia@example.com,Salvatore,Ravaglioli,3667444311,FR,Fürstenfeldbruck,pl. Nowowiejska 94/13,2024-10-18T00:00:00,
CUST-0400BA80,poncioescobar@example.com,Jean,Höfig,9849271094,DE,Puławy,Müllergasse 86,2023-01-04T00:00:00,
CUST-8031204E,hayeslynne@example.com,Frederick,Bevan,(086) 7749649,FR,Port Jaredborough,Urbanización Fulgencio Benavides 70,2024-05-27T00:00:00,
CUST-AC39DB31,cjeske@example.org,Lara,Santiago,,DE,West Kayleigh,"9, rue Da Costa",2024-10-02T00:00:00,
CUST-83EEAE33,bonbachguenther@example.com,Valentín,Jones,+34945488771,ES,Navarroview,,2023-06-06T00:00:00,
CUST-D92A6290,perezemily@example.net,Yvonne,Arjona,08742 967175,BE,Netersel,"Rotonda Piergiorgio, 94",2024-06-27T00:00:00,
CUST-0881C304,suraiwo@example.com,Sophie,Sandoval,+48 510 385 977,GB,West Andrea,Via de Ambrosio Heras 94 Apt. 86 ,2023-04-25T00:00:00,
CUST-4956466C,geoffreyhall@example.org,Alexa,Verdú,,NL,Lugo,aleja Staffa 63,2023-11-11T00:00:00,
CUST-F304AE45,hofmannlara@example.com,Milena,Acedo,,GB,Palencia,aleja Kossaka 558,2023-03-22T00:00:00,
CUST-630697C1,mvandenbergh@example.net,Henriette,Otto,057 6627028,DE,Croviana,,2024-06-29T00:00:00,
CUST-2668EFC1,hankiewiczagnieszka@example.org,Sahin,Bruder,,GB,Łomża,"Rotonda Serena, 95 Appartamento 43",2024-07-16T00:00:00,
CUST-42AC478D,wstewart@example.net,Louise,Täsche,+34730 50 45 56,ES,Peine,Jesseboulevard 69,2023-08-05T00:00:00,
CUST-ABCD263E,jguillon@example.org,Juliusz,Micał,648.521.7594x647,ES,Terschuur,95 Turner hill,2024-12-31T00:00:00,
CUST-E84E7C38,khill@example.net,Renee,Mazepa,+34 878953394,ES,Sebnitz,0952 Renee Islands Suite 232,2024-03-24T00:00:00,
CUST-0EC650D1,rita24@example.com,Margarita,Carosone,532 368 516,DE,Amandamouth,"Canale Pagnotto, 143 Appartamento 77",2023-03-07T00:00:00,
CUST-341CD980,jordanharding@example.com,Oliwier,Henry,,DE,Mettmann,"Incrocio Filippa, 57 Piano 3",2023-08-14T00:00:00,
CUST-0B5CB358,xksiezak@example.org,Alessia,Bignardi,0317-139005,DE,Moreno,rue de Coste,2023-03-11T00:00:00,
CUST-287EA7A2,vincentbecker@example.org,Joshua,Ehlert,,DE,Baleares,53950 Joseph Crossroad,2023-09-01T00:00:00,
CUST-45435608,demmendaalwillem@example.com,Ubaldo,Price,+33 (0)4 58 70 07 66,GB,Edwardsmouth,92 Malcolm harbor,2024-08-07T00:00:00,
CUST-9FC4630F,sturchetta@example.com,Dylano,Davis,,GB,Sauvage-sur-Mer,,2024-02-21T00:00:00,
CUST-A8C48AEC,meike76@example.com,Terry,Tillmanno,+34932 71 11 16,FR,Callumside,165 Parrish Stravenue Apt. 494,2024-03-09T00:00:00,
CUST-1E5BDCF5,tomaselligiacomo@example.org,Artur,Dodd,+39 3224936890,DE,Viersen,,2024-10-31T00:00:00,
CUST-376072C1,pascual02@example.org,Collin,Weihmann,683-766-7525,FR,East Charleston,,2023-12-14T00:00:00,
CUST-1B316C96,angela67@example.net,Urszula,Garriga,(0131) 4960614,DE,Ostróda,C. Elena Ballesteros 4,2024-07-03T00:00:00,
CUST-FA725128,maria-fernandacervantes@example.com,Nacio,Bailey,+31(0)26 8388516,FR,Smithland,,2023-09-13T00:00:00,
CUST-114AB28B,tpirandello@example.net,Maxim,Gibbons,,IT,Vaglio Basilicata,ul. Letniskowa 36,2024-07-17T00:00:00,
CUST-CEE50DD6,de-ruiternoortje@example.com,Gianfrancesco,Dibiasi,+44(0)161 4960188,GB,Marty,Gabor-Hertrampf-Platz 292,2023-01-16T00:00:00,
CUST-CE808082,wmitschke@example.net,Sylwia,Mercadante,01774 490581,NL,León,4119 Ford Plaza,2023-06-20T00:00:00,
CUST-2B5100B0,kstout@example.net,Tristan,Dawiec,,NL,Meppen,,2023-03-02T00:00:00,
CUST-D9C2E36A,graham82@example.org,Mathilde,Sabała,,FR,Kitzingen,Alameda de Iris Badía 61 Apt. 86 ,2024-04-10T00:00:00,
CUST-38D9A74B,lourdes92@example.com,Carole,Killer,+34943 29 14 86,IT,Azzone,"Studio 50
Herbert forest",2024-07-23T00:00:00,
CUST-E89F349C,oferrabosco@example.org,Curt,Cadenas,+1-759-529-6222x92706,DE,Września,Paseo Jorge Mendoza 63 Puerta 9 ,2023-08-11T00:00:00,
CUST-D10F38E8,skulus@example.com,Yasmin,Gute,,GB,Badoberan,pl. Rynek 81/41,2023-11-18T00:00:00,
CUST-C63D88CF,tomas82@example.com,Ross,Piekart,,GB,Bolano,Ameliapad 61,2024-06-27T00:00:00,
